Country,Category,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
Canada,world_cup,23.0,Niko Sigur,"DF,MF",1.hr Hajduk Split,Canada,2003-09-09,22-275,0.0,,
Canada,world_cup,1.0,Dayne St. Clair,GK,1.us Inter Miami,"Pickering, ON, Canada",1997-05-09,29-033,0.0,,
Canada,world_cup,5.0,Joel Waterman,DF,1.us Chicago Fire,"Langley, BC, Canada",1996-01-24,30-138,0.0,,
Cape Verde,world_cup,18.0,Telmo Arcanjo,MF,1.pt Vitória Guimarães,"Portugal, Portugal",2001-06-21,24-355,,,
Cape Verde,world_cup,9.0,Gilson Benchimol,FW,1.ru FK Akron Tolyatti,"Praia, Cape Verde",2001-12-29,24-164,,,
Cape Verde,world_cup,7.0,Jovane Cabral,"FW,MF",1.pt Estrela,"Assomada, Cape Verde",1998-06-14,27-362,,,
Cape Verde,world_cup,5.0,Logan Costa,DF,1.es Villarreal,"Saint-Denis, France",2001-04-01,25-071,,,
Cape Verde,world_cup,21.0,Nuno da Costa,"FW,MF",1.tr Başakşehir,"Praia, Cape Verde",1991-02-10,35-121,,,
Cape Verde,world_cup,3.0,Diney,DF,1.ae Al Bataeh,"Tarrafal, Cape Verde",1995-01-17,31-145,,,
Cape Verde,world_cup,23.0,C.J. dos Santos,GK,1.us San Diego FC,"Philadelphia, PA, United States",2000-08-24,25-291,,,
Cape Verde,world_cup,14.0,Deroy Duarte,MF,1.bg Ludogorets Razgrad,"Rotterdam, Netherlands",1999-07-04,26-342,,,
Cape Verde,world_cup,15.0,Laros Duarte,MF,1.hu Puskás Akadémia,"Rotterdam, Netherlands",1997-02-28,29-103,,,
Cape Verde,world_cup,19.0,Dailon Livramento,FW,1.pt Casa Pia,"Rotterdam, Netherlands",2001-05-04,25-038,,,
Cape Verde,world_cup,13.0,Sidny Lopes Cabral,"DF,MF",1.pt Benfica,"Rotterdam, Netherlands",2002-09-18,23-266,,,
Cape Verde,world_cup,20.0,Ryan Mendes,"FW,MF",2.tr 76 Iğdır Belediyespor,"Mindelo, Cape Verde",1990-01-08,36-154,,,
Cape Verde,world_cup,10.0,Jamiro Monteiro,"FW,MF",1.nl Zwolle,"Rotterdam, Netherlands",1993-11-23,32-200,,,
Cape Verde,world_cup,22.0,Steven Moreira,"DF,MF",1.us Columbus Crew,"Noisy-le-Grand, France",1994-08-13,31-302,,,
Cape Verde,world_cup,8.0,João Paulo Fernandes,"DF,MF",1.ro FCSB,Cape Verde,1998-05-26,28-016,,,
Cape Verde,world_cup,4.0,Pico,DF,1.ie Shamrock Rovers,"Dublin, Republic of Ireland",1992-06-17,33-359,,,
Cape Verde,world_cup,6.0,Kevin Pina,MF,1.ru Krasnodar,"Praia, Cape Verde",1997-01-27,29-135,,,
Cape Verde,world_cup,24.0,Wagner Pina,"DF,MF",1.tr Trabzonspor,"Lisbon, Portugal",2002-11-03,23-220,,,
Cape Verde,world_cup,25.0,Kelvin Pires,DF,1.fi SJK,"Mindelo, Cape Verde",2000-06-05,26-006,,,
Cape Verde,world_cup,11.0,Garry Rodrigues,"FW,MF",1.cy Apollon Limassol,"Rotterdam, Netherlands",1990-11-27,35-196,,,
Cape Verde,world_cup,12.0,Márcio Rosa,GK,1.bg Montana,"Praia, Cape Verde",1997-02-23,29-108,,,
Cape Verde,world_cup,17.0,Willy Semedo,"FW,MF",1.cy AC Omonia,"Paris, France",1994-04-27,32-045,,,
Cape Verde,world_cup,2.0,Stopira,DF,2.pt Torreense,"Praia, Cape Verde",1988-05-20,38-022,,,
Cape Verde,world_cup,26.0,Hélio Varela,FW,1.il Maccabi Tel Aviv FC,"Portugal, Portugal",2002-05-03,24-039,,,
Cape Verde,world_cup,1.0,Vozinha,GK,2.pt Chaves,"Mindelo, Cape Verde",1986-06-03,40-008,,,
Cape Verde,world_cup,16.0,Yannick,MF,2.pt Farense,"Praia, Cape Verde",1995-12-29,30-164,,,
Colombia,world_cup,11.0,Jhon Arias,"FW,MF",1.br Palmeiras,"Colombia, Colombia",1997-09-21,28-263,,,
Colombia,world_cup,4.0,Santiago Arias,"DF,MF",1.ar Independiente,"Medellín, Colombia",1992-01-13,34-149,,,
Colombia,world_cup,15.0,Juan Camilo Portilla,MF,1.br Athletico Paranaense,"Colombia, Colombia",1998-09-12,27-272,,,
Colombia,world_cup,21.0,Jaminton Campaz,"FW,MF",1.ar Rosario Central,"Tumaco, Colombia",2000-05-24,26-018,,,
Colombia,world_cup,8.0,Jorge Carrascal,"FW,MF",1.br Flamengo,"Cartagena, Colombia",1998-05-25,28-017,,,
Colombia,world_cup,5.0,Kevin Castaño,MF,1.ar River Plate,"Itagüí, Colombia",2000-09-29,25-255,,,
Colombia,world_cup,9.0,Jhon Córdoba,FW,1.ru Krasnodar,"Istmina, Colombia",1993-05-11,33-031,,,
Colombia,world_cup,19.0,Cucho,"FW,MF",1.es Real Betis,"Pereira, Colombia",1999-04-20,27-052,,,
Colombia,world_cup,24.0,Álvaro David Montero,GK,1.ar Vélez Sarsfield,"El Molino, Colombia",1995-03-29,31-074,,,
Colombia,world_cup,7.0,Luis Díaz,"FW,MF",1.de Bayern Munich,"Barrancas, Colombia",1997-01-13,29-149,,,
Colombia,world_cup,18.0,Willer Ditta,DF,1.mx Cruz Azul,"Colombia, Colombia",1998-01-23,28-139,,,
Colombia,world_cup,26.0,Andrés Gómez,MF,1.br Vasco da Gama,"Quibdó, Colombia",2002-09-12,23-272,,,
Colombia,world_cup,16.0,Jefferson Lerma,"DF,MF",1.eng Crystal Palace,"El Cerrito, Colombia",1994-10-25,31-229,,,
Colombia,world_cup,3.0,Jhon Lucumí,DF,1.it Bologna,"Cali, Colombia",1998-06-26,27-350,,,
Colombia,world_cup,22.0,Deiver Machado,"DF,MF",1.fr Nantes,"Tadó, Colombia",1993-09-02,32-282,,,
Colombia,world_cup,13.0,Yerry Mina,DF,1.it Cagliari,"Guachené, Colombia",1994-09-23,31-261,,,
Colombia,world_cup,17.0,Johan Mojica,"DF,MF",1.es Mallorca,"Cali, Colombia",1992-08-21,33-294,,,
Colombia,world_cup,2.0,Daniel Muñoz,"DF,MF",1.eng Crystal Palace,"Amalfi, Colombia",1996-05-26,30-016,,,
Colombia,world_cup,1.0,David Ospina,GK,1.co Atlético Nacional,"Medellín, Colombia",1988-08-31,37-284,,,
Colombia,world_cup,14.0,Gustavo Puerta,MF,2.es Racing Sant,"Colombia, Colombia",2003-07-23,22-323,,,
Colombia,world_cup,20.0,Juan Quintero,"FW,MF",1.ar River Plate,"Barranquilla, Colombia",1993-01-18,33-144,,,
Colombia,world_cup,6.0,Richard Ríos,MF,1.pt Benfica,"Colombia, Colombia",2000-06-02,26-009,,,
Colombia,world_cup,10.0,James Rodríguez,"FW,MF",1.us Minnesota Utd,"Cúcuta, Colombia",1991-07-12,34-334,,,
Colombia,world_cup,23.0,Davinson Sánchez,DF,1.tr Galatasaray,"Caloto, Colombia",1996-06-12,29-364,,,
Colombia,world_cup,25.0,Luis Suárez,FW,1.pt Sporting CP,"Colombia, Colombia",1997-12-02,28-191,,,
Colombia,world_cup,12.0,Camilo Vargas,GK,1.mx Atlas,"Bogotá, Colombia",1989-03-09,37-094,,,
Congo DR,world_cup,17.0,Cédric Bakambu,FW,1.es Real Betis,"Ivry-sur-Seine, France",1991-04-11,35-061,,,
Congo DR,world_cup,23.0,Simon Banza,"FW,MF",1.ae Al Jazira Club,"Creil, France",1996-08-13,29-302,,,
Congo DR,world_cup,5.0,Dylan Batubinsika,DF,1.cy AEL Limassol,"Cergy-Pontoise, France",1996-02-15,30-116,,,
Congo DR,world_cup,10.0,Theo Bongonda,"FW,MF",1.ru Spartak Moscow,"Charleroi, Belgium",1995-11-20,30-203,,,
Congo DR,world_cup,,Rocky Bushiri,DF,1.sct Hibernian,"Duffel, Belgium",1999-11-30,26-193,,,
Congo DR,world_cup,9.0,Brian Cipenga,MF,2.es Castellón,"Kinshasa, Congo DR",1998-03-11,28-092,,,
Congo DR,world_cup,13.0,Meschak Elia,"FW,MF",1.tr Alanyaspor,"Kinshasa, Congo DR",1997-08-06,28-309,,,
Congo DR,world_cup,21.0,Matthieu Epolo,GK,1.be Standard Liège,Belgium,2005-01-15,21-147,,,
Congo DR,world_cup,16.0,Timothy Fayulu,GK,1.am FC Noah,"Genève, Switzerland",1999-07-24,26-322,,,
Congo DR,world_cup,11.0,Gaël Kakuta,"FW,MF",1.cy AEL Limassol,"Lille, France",1991-06-21,34-355,,,
Congo DR,world_cup,24.0,Gédéon Kalulu,DF,1.cy Aris Limassol,"Lyon, France",1997-08-29,28-286,,,
Congo DR,world_cup,3.0,Steve Kapuadi,DF,1.pl Widzew Łódź,"Le Mans, France",1998-04-30,28-042,,,
Congo DR,world_cup,25.0,Edo Kayembe,MF,2.eng Watford,Congo,1998-06-03,28-008,,,
Congo DR,world_cup,12.0,Joris Kayembe,"DF,FW",1.be Genk,"Brussels, Belgium",1994-08-08,31-307,,,
Congo DR,world_cup,26.0,Arthur Masuaku,"DF,MF",1.fr Lens,"Lille, France",1993-11-07,32-216,,,
Congo DR,world_cup,19.0,Fiston Mayele,FW,1.eg Pyramids FC,"Mbuji-Mayi City, Congo DR",1994-06-24,31-352,,,
Congo DR,world_cup,22.0,Chancel Mbemba,DF,1.fr Lille,"Kinshasa, Congo DR",1994-08-08,31-307,,,
Congo DR,world_cup,7.0,Nathanaël Mbuku,MF,2.fr Montpellier,"Villeneuve-Saint-Georges, France",2002-03-16,24-087,,,
Congo DR,world_cup,8.0,Samuel Moutoussamy,MF,1.gr Atromitos,"Paris, France",1996-08-12,29-303,,,
Congo DR,world_cup,1.0,Lionel Mpasi,GK,1.fr Le Havre,"Meaux, France",1994-08-01,31-314,,,
Congo DR,world_cup,6.0,Ngal'Ayel Mukau,MF,1.fr Lille,"Antwerpen, Belgium",2004-11-03,21-220,,,
Congo DR,world_cup,18.0,Charles Pickel,"DF,MF",1.es Espanyol,"Solothurn, Switzerland",1997-05-15,29-027,,,
Congo DR,world_cup,14.0,Noah Sadiki,MF,1.eng Sunderland,"Brussels, Belgium",2004-12-17,21-176,,,
Congo DR,world_cup,15.0,Aaron Tshibola,MF,1.sct Kilmarnock,"Newham, England, United Kingdom",1995-01-02,31-160,,,
Congo DR,world_cup,4.0,Axel Tuanzebe,DF,1.eng Burnley,"Bunia, Congo DR",1997-11-14,28-209,,,
Congo DR,world_cup,2.0,Aaron Wan-Bissaka,"DF,MF",1.eng West Ham United,"Croydon, England, United Kingdom",1997-11-26,28-197,,,
Congo DR,world_cup,20.0,Yoane Wissa,"FW,MF",1.eng Newcastle United,"Épinay-sous-Sénart, France",1996-09-03,29-281,,,
Croatia,world_cup,16.0,Martin Baturina,MF,1.it Como,"Zürich, Switzerland",2003-02-16,23-115,,,
Croatia,world_cup,11.0,Ante Budimir,FW,1.es Osasuna,"Zenica, Bosnia and Herzegovina",1991-07-22,34-324,,,
Croatia,world_cup,5.0,Duje Ćaleta-Car,DF,1.es Real Sociedad,"Grad Šibenik, Croatia",1996-09-17,29-267,,,
Croatia,world_cup,25.0,Martin Erlić,DF,1.dk Midtjylland,"Zadar, Croatia",1998-01-24,28-138,,,
Croatia,world_cup,19.0,Toni Fruk,"FW,MF",1.hr Rijeka,"Grad Našice, Croatia",2001-03-09,25-094,,,
Croatia,world_cup,4.0,Joško Gvardiol,DF,1.eng Manchester City,"Zagreb, Croatia",2002-01-23,24-139,,,
Croatia,world_cup,18.0,Kristijan Jakić,"DF,MF",1.de Augsburg,"Grad Split, Croatia",1997-05-14,29-028,,,
Croatia,world_cup,23.0,Dominik Kotarski,GK,1.dk FC Copenhagen,"Zabok, Croatia",2000-02-10,26-121,,,
Croatia,world_cup,8.0,Mateo Kovačić,MF,1.eng Manchester City,"Linz, Austria",1994-05-06,32-036,,,
Croatia,world_cup,9.0,Andrej Kramarić,"FW,MF",1.de Hoffenheim,"Zagreb, Croatia",1991-06-19,34-357,,,
Croatia,world_cup,1.0,Dominik Livaković,GK,1.hr Dinamo Zagreb,"Zadar, Croatia",1995-01-09,31-153,,,
Croatia,world_cup,20.0,Igor Matanović,FW,1.de Freiburg,"Hamburg, Germany",2003-03-31,23-072,,,
Croatia,world_cup,10.0,Luka Modrić,MF,1.it Milan,"Zadar, Croatia",1985-09-09,40-275,,,
Croatia,world_cup,7.0,Nikola Moro,MF,1.it Bologna,"Grad Split, Croatia",1998-03-12,28-091,,,
Croatia,world_cup,26.0,Petar Musa,FW,1.us FC Dallas,"Zagreb, Croatia",1998-03-04,28-099,,,
Croatia,world_cup,12.0,Ivor Pandur,GK,2.eng Hull City,"Sušak, Croatia",2000-03-25,26-078,,,
Croatia,world_cup,24.0,Marco Pašalić,MF,1.us Orlando City,"Karlsruhe, Germany",2000-09-14,25-270,,,
Croatia,world_cup,15.0,Mario Pašalić,"FW,MF",1.it Atalanta,"Mainz, Germany",1995-02-09,31-122,,,
Croatia,world_cup,14.0,Ivan Perišić,"FW,MF",1.nl PSV,"Grad Split, Croatia",1989-02-02,37-129,,,
Croatia,world_cup,3.0,Marin Pongračić,DF,1.it Fiorentina,"Landshut, Germany",1997-09-11,28-273,,,
Croatia,world_cup,2.0,Josip Stanišić,DF,1.de Bayern Munich,"München, Germany",2000-04-02,26-070,,,
Croatia,world_cup,21.0,Luka Sučić,"FW,MF",1.es Real Sociedad,"Linz, Austria",2002-09-08,23-276,,,
Croatia,world_cup,17.0,Petar Sučić,MF,1.it Inter,"Livno, Bosnia and Herzegovina",2003-10-25,22-229,,,
Croatia,world_cup,6.0,Josip Šutalo,DF,1.nl Ajax,"Čapljina, Bosnia and Herzegovina",2000-02-28,26-103,,,
Croatia,world_cup,13.0,Nikola Vlašić,"FW,MF",1.it Torino,"Grad Split, Croatia",1997-10-04,28-250,,,
Croatia,world_cup,22.0,Luka Vušković,DF,1.de Hamburger SV,"Croatia, Croatia",2007-02-24,19-107,,,
Curaçao,world_cup,11.0,Jeremy Antonisse,"FW,MF",1.gr AE Kifisia,"Rosmalen, Netherlands",2002-03-29,24-074,,,
Curaçao,world_cup,7.0,Juninho Bacuna,"FW,MF",1.nl Volendam,"Groningen, Netherlands",1997-08-07,28-308,,,
Curaçao,world_cup,10.0,Leandro Bacuna,"DF,MF",2.tr 76 Iğdır Belediyespor,"Groningen, Netherlands",1991-08-21,34-294,,,
Curaçao,world_cup,23.0,Riechedly Bazoer,"DF,MF",1.tr Konyaspor,"Gemeente Utrecht, Netherlands",1996-10-12,29-242,,,
Curaçao,world_cup,25.0,Tyrick Bodak,GK,1.nl Telstar,"Curaçao Island, Curaçao",2002-05-15,24-027,,,
Curaçao,world_cup,20.0,Joshua Brenet,DF,1.tr Kayserispor,"Gemeente Kerkrade, Netherlands",1994-03-20,32-083,,,
Curaçao,world_cup,21.0,Tahith Chong,"FW,MF",2.eng Sheffield United,"Willemstad, Curaçao",1999-12-04,26-189,,,
Curaçao,world_cup,8.0,Livano Comenencia,DF,1.ch Zürich,"Breda, Netherlands",2004-02-03,22-128,,,
Curaçao,world_cup,26.0,Trevor Doornbusch,GK,2.nl VVV-Venlo,"Haarlem, Netherlands",1999-07-06,26-340,,,
Curaçao,world_cup,4.0,Roshon van Eijma,DF,2.nl RKC Waalwijk,"Curaçao Island, Curaçao",1998-06-09,28-002,,,
Curaçao,world_cup,22.0,Kevin Felida,MF,2.nl Den Bosch,"Gemeente Spijkenisse, Netherlands",1999-11-11,26-212,,,
Curaçao,world_cup,5.0,Sherel Floranus,DF,1.nl Zwolle,"Rotterdam, Netherlands",1998-08-23,27-292,,,
Curaçao,world_cup,24.0,Deveron Fonville,DF,1.nl NEC Nijmegen,"Gemeente Nieuwegein, Netherlands",2003-05-16,23-026,,,
Curaçao,world_cup,3.0,Juriën Gaari,DF,2.sa Abha,"Gemeente Kerkrade, Netherlands",1993-12-23,32-170,,,
Curaçao,world_cup,14.0,Kenji Gorré,"FW,MF",1.il Maccabi Haifa FC,"Gemeente Spijkenisse, Netherlands",1994-09-29,31-255,,,
Curaçao,world_cup,12.0,Sontje Hansen,"FW,MF",2.eng Middlesbrough,"Gemeente Hoorn, Netherlands",2002-05-18,24-024,,,
Curaçao,world_cup,19.0,Gervane Kastaneer,"FW,MF",1.my Terengganu City FC,"Rotterdam, Netherlands",1996-06-09,30-002,,,
Curaçao,world_cup,17.0,Brandley Kuwas,"FW,MF",1.nl Volendam,"Gemeente Hoorn, Netherlands",1992-09-19,33-265,,,
Curaçao,world_cup,9.0,Jürgen Locadia,FW,2.us Miami FC,"Gemeente Emmen, Netherlands",1993-11-07,32-216,,,
Curaçao,world_cup,16.0,Jearl Margaritha,"FW,MF",2.be Beveren,"Groningen, Netherlands",2000-04-10,26-062,,,
Curaçao,world_cup,15.0,Ar'jany Martha,"DF,FW",3.eng Rotherham United,"Rotterdam, Netherlands",2003-09-04,22-280,,,
Curaçao,world_cup,13.0,Tyrese Noslin,MF,1.nl Telstar,"Amsterdam, Netherlands",2002-09-11,23-273,,,
Curaçao,world_cup,18.0,Armando Obispo,DF,1.nl PSV,"Boxtel, Netherlands",1999-03-05,27-098,,,
Curaçao,world_cup,6.0,Godfried Roemeratoe,MF,2.nl RKC Waalwijk,"Oost-Souburg, Netherlands",1999-08-19,26-296,,,
Curaçao,world_cup,1.0,Eloy Room,GK,2.us Miami FC,"Gemeente Nijmegen, Netherlands",1989-02-06,37-125,,,
Curaçao,world_cup,2.0,Shurandy Sambo,DF,1.nl Sparta Rotterdam,"Geldrop, Netherlands",2001-08-19,24-296,,,
Czechia,world_cup,12.0,Lukáš Červ,MF,1.cz Viktoria Plzeň,Czech Republic,2001-04-10,25-062,0.0,,
Czechia,world_cup,6.0,Štěpán Chaloupek,DF,1.cz Slavia Prague,"Meziboři, Czech Republic",2003-03-08,23-095,1.0,90.0,0.0
Czechia,world_cup,19.0,Tomáš Chorý,FW,1.cz Slavia Prague,"Olomouc, Czech Republic",1995-01-26,31-136,1.0,27.0,0.0
Czechia,world_cup,13.0,Mojmír Chytil,FW,1.cz Slavia Prague,Czech Republic,1999-04-29,27-043,1.0,7.0,0.0
Czechia,world_cup,5.0,Vladimír Coufal,MF,1.de Hoffenheim,"Liberec, Czech Republic",1992-08-22,33-293,1.0,90.0,0.0
Czechia,world_cup,8.0,Vladimír Darida,MF,1.cz Hradec Králové,"Sokolov, Czech Republic",1990-08-08,35-307,0.0,,
Czechia,world_cup,21.0,David Doudera,"DF,MF",1.cz Slavia Prague,Czech Republic,1998-05-31,28-011,0.0,,
Czechia,world_cup,9.0,Adam Hložek,"FW,MF",1.de Hoffenheim,"Ivančice, Czech Republic",2002-07-25,23-321,1.0,27.0,0.0
Czechia,world_cup,3.0,Tomáš Holeš,"DF,MF",1.cz Slavia Prague,"Polička, Czech Republic",1993-03-31,33-072,0.0,,
Czechia,world_cup,23.0,Lukáš Horníček,GK,1.pt Braga,"Vysoké Mýto, Czech Republic",2002-07-13,23-333,0.0,,
Czechia,world_cup,4.0,Robin Hranáč,DF,1.de Hoffenheim,Czech Republic,2000-01-29,26-133,1.0,90.0,0.0
Czechia,world_cup,14.0,David Jurásek,"DF,MF",1.cz Slavia Prague,Czech Republic,2000-08-07,25-308,0.0,,
Czechia,world_cup,1.0,Matej Kovar,GK,1.nl PSV,"Uherské Hradiště, Czech Republic",2000-05-17,26-025,1.0,90.0,0.0
Czechia,world_cup,7.0,Ladislav Krejčí,DF,1.eng Wolves,"Praha, Czech Republic",1999-04-20,27-052,1.0,90.0,1.0
Czechia,world_cup,11.0,Jan Kuchta,FW,1.cz Sparta Prague,"Liberec, Czech Republic",1997-01-08,29-154,0.0,,
Czechia,world_cup,17.0,Lukáš Provod,FW,1.cz Slavia Prague,"Pilsen, Czech Republic",1996-10-23,29-231,1.0,63.0,0.0
Czechia,world_cup,18.0,Michal Sadílek,"DF,FW",1.cz Slavia Prague,"Uherské Hradiště, Czech Republic",1999-05-31,27-011,1.0,27.0,0.0
Czechia,world_cup,10.0,Patrik Schick,FW,1.de Leverkusen,"Prague, Czech Republic",1996-01-24,30-138,1.0,63.0,0.0
Czechia,world_cup,25.0,Hugo Sochůrek,MF,1.cz Sparta Prague,Czech Republic,2008-06-07,18-004,0.0,,
Czechia,world_cup,24.0,Alexandr Sojka,MF,1.cz Viktoria Plzeň,"Pilsen, Czech Republic",2003-04-02,23-070,1.0,83.0,0.0
Czechia,world_cup,22.0,Tomáš Souček,MF,1.eng West Ham United,"Havlíčkův Brod, Czech Republic",1995-02-27,31-104,1.0,90.0,0.0
Czechia,world_cup,16.0,Jindřich Staněk,GK,1.cz Slavia Prague,"Strakonice, Czech Republic",1996-04-27,30-045,0.0,,
Czechia,world_cup,15.0,Pavel Šulc,FW,1.fr Lyon,Czech Republic,2000-12-29,25-164,1.0,63.0,0.0
Czechia,world_cup,26.0,Denis Višinský,"FW,MF",1.cz Viktoria Plzeň,Czech Republic,2003-03-21,23-082,0.0,,
Czechia,world_cup,20.0,Jaroslav Zelený,MF,1.cz Sparta Prague,"Hradec Králové, Czech Republic",1992-08-20,33-295,1.0,90.0,0.0
Czechia,world_cup,2.0,David Zima,DF,1.cz Slavia Prague,"Olomouc, Czech Republic",2000-11-08,25-215,0.0,,
Côte d'Ivoire,world_cup,10.0,Simon Adingra,"FW,MF",1.fr Monaco,"Abidjan, Côte d'Ivoire",2002-01-01,24-161,,,
Côte d'Ivoire,world_cup,20.0,Emmanuel Agbadou,DF,1.tr Beşiktaş,"Abidjan, Côte d'Ivoire",1997-06-17,28-359,,,
Côte d'Ivoire,world_cup,,Clément Akpa,DF,1.fr Auxerre,"Meudon, France",2001-11-24,24-199,,,
Côte d'Ivoire,world_cup,9.0,Ange-Yoan Bonny,FW,1.it Inter,"Aubervilliers, France",2003-10-25,22-229,,,
Côte d'Ivoire,world_cup,14.0,Oumar Diakité,FW,1.be Cercle Brugge,"Bingerville, Côte d'Ivoire",2003-12-20,22-173,,,
Côte d'Ivoire,world_cup,15.0,Amad Diallo,"FW,MF",1.eng Manchester Utd,"Abidjan, Côte d'Ivoire",2002-07-11,23-335,,,
Côte d'Ivoire,world_cup,2.0,Ousmane Diomande,DF,1.pt Sporting CP,"Abidjan, Côte d'Ivoire",2003-12-04,22-189,,,
Côte d'Ivoire,world_cup,11.0,Yan Diomandé,FW,1.de RB Leipzig,"Abidjan, Côte d'Ivoire",2006-11-14,19-209,,,
Côte d'Ivoire,world_cup,17.0,Guéla Doué,DF,1.fr Strasbourg,"Angers, France",2002-10-17,23-237,,,
Côte d'Ivoire,world_cup,6.0,Seko Fofana,MF,1.pt Porto,"Paris, France",1995-05-07,31-035,,,
Côte d'Ivoire,world_cup,1.0,Yahia Fofana,GK,1.tr Rizespor,"Paris, France",2000-08-21,25-294,,,
Côte d'Ivoire,world_cup,22.0,Evann Guessand,"FW,MF",1.eng Crystal Palace,"Ajaccio, France",2001-07-01,24-345,,,
Côte d'Ivoire,world_cup,25.0,Parfait Guiagon,MF,1.be Charleroi,Côte d'Ivoire,2001-02-22,25-109,,,
Côte d'Ivoire,world_cup,26.0,Christ Inao Oulaï,MF,1.tr Trabzonspor,"Yopougon, Côte d'Ivoire",2006-04-06,20-066,,,
Côte d'Ivoire,world_cup,8.0,Franck Kessié,"DF,MF",1.sa Al-Ahli,"Ouragahio, Côte d'Ivoire",1996-12-19,29-174,,,
Côte d'Ivoire,world_cup,3.0,Ghislain Konan,"DF,MF",1.pt Gil Vicente FC,"Abidjan, Côte d'Ivoire",1995-12-27,30-166,,,
Côte d'Ivoire,world_cup,16.0,Mohamed Koné,GK,1.be Charleroi,"Adjame, Côte d'Ivoire",2002-03-07,24-096,,,
Côte d'Ivoire,world_cup,7.0,Odilon Kossounou,DF,1.it Atalanta,"Abidjan, Côte d'Ivoire",2001-01-04,25-158,,,
Côte d'Ivoire,world_cup,23.0,Alban Lafont,GK,1.gr Panathinaikos,"Ouagadougou, Burkina Faso",1999-01-23,27-139,,,
Côte d'Ivoire,world_cup,21.0,Obite N'Dicka,DF,1.it Roma,"Paris, France",1999-08-20,26-295,,,
Côte d'Ivoire,world_cup,13.0,Christopher Opéri,"DF,MF",1.tr Başakşehir,"Abidjan, Côte d'Ivoire",1997-04-29,29-043,,,
Côte d'Ivoire,world_cup,19.0,Nicolas Pépé,"FW,MF",1.es Villarreal,"Mantes-la-Jolie, France",1995-05-29,31-013,,,
Côte d'Ivoire,world_cup,18.0,Ibrahim Sangaré,MF,1.eng Nottingham Forest,"Koumassi, Côte d'Ivoire",1997-12-02,28-191,,,
Côte d'Ivoire,world_cup,4.0,Jean Seri,MF,1.si NK Maribor,"Grand Béréby, Côte d'Ivoire",1991-07-19,34-327,,,
Côte d'Ivoire,world_cup,5.0,Wilfried Singo,"DF,MF",1.tr Galatasaray,"Ouragahio, Côte d'Ivoire",2000-12-25,25-168,,,
Côte d'Ivoire,world_cup,24.0,Bazoumana Touré,MF,1.de Hoffenheim,"Bouaké, Côte d'Ivoire",2006-03-02,20-101,,,
Côte d'Ivoire,world_cup,12.0,Elye Wahi,FW,1.fr Nice,"Courcouronnes, France",2003-01-02,23-160,,,
Ecuador,world_cup,5.0,Jordy Alcivar,MF,1.ec Independiente,"Manta, Ecuador",1999-08-05,26-310,,,
Ecuador,world_cup,20.0,Nilson Angulo,"FW,MF",1.eng Sunderland,"Quininde, Ecuador",2003-06-19,22-357,,,
Ecuador,world_cup,24.0,Jeremy Arévalo,FW,1.de Stuttgart,"Maliaño, Spain",2005-03-19,21-084,,,
Ecuador,world_cup,16.0,Jordy Caicedo,FW,1.ar Huracán,"Machala, Ecuador",1997-11-18,28-205,,,
Ecuador,world_cup,23.0,Moisés Caicedo,MF,1.eng Chelsea,"Santo Domingo de los Colorados, Ecuador",2001-11-02,24-221,,,
Ecuador,world_cup,18.0,Denil Castillo,MF,1.dk Midtjylland,"Cantón Eloy Alfaro, Ecuador",2004-03-24,22-079,,,
Ecuador,world_cup,7.0,Pervis Estupiñán,"DF,MF",1.it Milan,"Esmeraldas, Ecuador",1998-01-21,28-141,,,
Ecuador,world_cup,21.0,Alan Franco,MF,1.br Atlético Mineiro,"Alfredo Baquerizo Moreno, Ecuador",1998-08-21,27-294,,,
Ecuador,world_cup,1.0,Hernán Galíndez,GK,1.ar Huracán,"Rosario, Argentina",1987-03-30,39-073,,,
Ecuador,world_cup,3.0,Piero Hincapié,DF,1.eng Arsenal,"Esmeraldas, Ecuador",2002-01-09,24-153,,,
Ecuador,world_cup,26.0,Yaimar Medina,"DF,MF",1.be Genk,"Cantón Eloy Alfaro, Ecuador",2004-11-05,21-218,,,
Ecuador,world_cup,14.0,Alan Minda,"FW,MF",1.br Atlético Mineiro,"Esmeraldas, Ecuador",2003-05-14,23-028,,,
Ecuador,world_cup,4.0,Joel Ordóñez,DF,1.be Club Brugge,"Guayaquil, Ecuador",2004-04-21,22-051,,,
Ecuador,world_cup,6.0,Willian Pacho,DF,1.fr Paris Saint-Germain,"Quininde, Ecuador",2001-10-16,24-238,,,
Ecuador,world_cup,10.0,Kendry Páez,MF,1.ar River Plate,"Guayaquil, Ecuador",2007-05-04,19-038,,,
Ecuador,world_cup,19.0,Gonzalo Plata,"FW,MF",1.br Flamengo,"Guayaquil, Ecuador",2000-11-01,25-222,,,
Ecuador,world_cup,25.0,Jackson Porozo,DF,1.mx Tijuana,"San Lorenzo, Ecuador",2000-08-04,25-311,,,
Ecuador,world_cup,17.0,Ángelo Preciado,"DF,MF",1.br Atlético Mineiro,"Shushufindi, Ecuador",1998-02-18,28-113,,,
Ecuador,world_cup,12.0,Moisés Ramírez,GK,1.gr AE Kifisia,"Guayaquil, Ecuador",2000-09-09,25-275,,,
