Player,Pos,Country,Age,impact_score_raw,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Roshon van Eijma,DF,Curaçao,28.0055,0.7688415620846143,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Kevin Felida,MF,Curaçao,26.5804,4.597383583143648,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Sherel Floranus,DF,Curaçao,27.7995,-2.242716198876219,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Deveron Fonville,DF,Curaçao,23.0712,-0.7642004317559499,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Juriën Gaari,DF,Curaçao,32.4654,-2.0937232760449387,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Kenji Gorré,"FW,MF",Curaçao,31.6982,1.7335041511094127,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Sontje Hansen,"FW,MF",Curaçao,24.0657,4.092210107790456,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Gervane Kastaneer,"FW,MF",Curaçao,30.0055,1.1208208478539992,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Brandley Kuwas,"FW,MF",Curaçao,33.7255,0.8177800353589437,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jürgen Locadia,FW,Curaçao,32.5914,-0.8523104669083452,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jearl Margaritha,"FW,MF",Curaçao,26.1697,0.9103405415128004,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ar'jany Martha,"DF,FW",Curaçao,22.7666,1.823849637237965,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Tyrese Noslin,MF,Curaçao,23.7474,2.404390776811253,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Armando Obispo,DF,Curaçao,27.2683,-0.2972853262715631,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Godfried Roemeratoe,MF,Curaçao,26.8104,-1.3631035184495124,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Eloy Room,GK,Curaçao,37.3422,0.2128391410776657,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Shurandy Sambo,DF,Curaçao,24.8104,-0.3482482937484739,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Lukáš Červ,MF,Czechia,25.1697,1.5754396506345267,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Štěpán Chaloupek,DF,Czechia,23.2601,-1.0419206218151242,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Tomáš Chorý,FW,Czechia,31.3723,1.1374113180898058,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Mojmír Chytil,FW,Czechia,27.1177,-0.4865836010585347,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Vladimír Coufal,MF,Czechia,33.8022,-0.9265744528972698,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Vladimír Darida,MF,Czechia,35.8405,-0.2076140741497388,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
David Doudera,"DF,MF",Czechia,28.0301,5.252960282829617,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Adam Hložek,"FW,MF",Czechia,23.8789,2.2050384867985287,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Tomáš Holeš,"DF,MF",Czechia,33.1971,-0.448966388327344,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Lukáš Horníček,GK,Czechia,23.9117,0.4700699178751695,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Robin Hranáč,DF,Czechia,26.3641,-1.0803226261554495,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
David Jurásek,"DF,MF",Czechia,25.8433,0.2319482434753166,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Matej Kovar,GK,Czechia,26.0684,-1.0509361384573692,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ladislav Krejčí,DF,Czechia,27.1424,-1.1782915160200484,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jan Kuchta,FW,Czechia,29.4216,7.351169114794542,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Lukáš Provod,FW,Czechia,29.6324,-0.4319356870155414,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Michal Sadílek,"DF,FW",Czechia,27.0301,-2.042575135708481,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Patrik Schick,FW,Czechia,30.3778,1.229158910187588,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Hugo Sochůrek,MF,Czechia,18.011,-0.9855530454314289,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Alexandr Sojka,MF,Czechia,23.1916,-0.5402419267344479,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Tomáš Souček,MF,Czechia,31.2847,-0.5998468519575468,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jindřich Staněk,GK,Czechia,30.1232,1.33075161552512,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Pavel Šulc,FW,Czechia,25.449,0.3622323300573952,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Denis Višinský,"FW,MF",Czechia,23.2245,2.8697338365946363,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jaroslav Zelený,MF,Czechia,33.8077,-0.2867037664549693,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
David Zima,DF,Czechia,25.5886,2.281335548874297,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Simon Adingra,"FW,MF",Côte d'Ivoire,24.4408,1.6676999617328794,57.0,69.0,400000.0,1000.0,83.0,49.0,47.0,60.0,25.0,40.0,48.0,51.0,22.0,59.0,35.0,56.0,84.0,82.0,76.0,48.0,71.0,52.0,54.0,33.0,42.0,44.0,42.0,24.0,55.0,48.0,52.0,24.0,26.0,26.0,8.0,13.0,6.0,14.0,10.0
Emmanuel Agbadou,DF,Côte d'Ivoire,28.9829,1.572443052113388,68.0,75.0,2200000.0,4000.0,65.0,30.0,50.0,57.0,66.0,79.0,36.0,21.0,66.0,58.0,25.0,58.0,58.0,70.0,53.0,59.0,43.0,53.0,62.0,68.0,86.0,23.0,78.0,64.0,55.0,51.0,67.0,68.0,67.0,63.0,9.0,7.0,12.0,9.0,14.0
Clément Akpa,DF,Côte d'Ivoire,24.5448,0.7014359656305325,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ange-Yoan Bonny,FW,Côte d'Ivoire,22.627,1.6282222483534436,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Oumar Diakité,FW,Côte d'Ivoire,22.4736,0.5272707152463013,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Amad Diallo,"FW,MF",Côte d'Ivoire,23.9172,2.659892814344113,68.0,85.0,3100000.0,12000.0,81.0,63.0,57.0,74.0,25.0,43.0,54.0,67.0,48.0,74.0,60.0,72.0,83.0,79.0,84.0,64.0,82.0,60.0,58.0,57.0,35.0,59.0,40.0,22.0,74.0,57.0,64.0,19.0,25.0,22.0,13.0,15.0,8.0,11.0,6.0
Ousmane Diomande,DF,Côte d'Ivoire,22.5175,0.8138137602545661,66.0,66.0,725000.0,5000.0,67.0,36.0,59.0,59.0,62.0,77.0,56.0,28.0,55.0,54.0,33.0,60.0,65.0,68.0,66.0,62.0,69.0,56.0,84.0,83.0,75.0,29.0,75.0,66.0,50.0,60.0,65.0,60.0,65.0,62.0,12.0,14.0,13.0,11.0,12.0
Yan Diomandé,FW,Côte d'Ivoire,19.5722,2.226277329630028,72.0,81.0,4800000.0,25000.0,63.0,46.0,60.0,60.0,71.0,74.0,49.0,39.0,75.0,57.0,53.0,64.0,58.0,67.0,51.0,69.0,58.0,68.0,91.0,67.0,78.0,47.0,70.0,73.0,39.0,56.0,72.0,72.0,70.0,65.0,13.0,7.0,12.0,10.0,8.0
Guéla Doué,DF,Côte d'Ivoire,23.6489,1.9719372589190631,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Seko Fofana,MF,Côte d'Ivoire,31.0958,1.0277544634386238,78.0,80.0,17500000.0,32000.0,76.0,71.0,72.0,78.0,72.0,79.0,62.0,68.0,58.0,78.0,42.0,80.0,74.0,77.0,74.0,80.0,69.0,77.0,63.0,80.0,81.0,79.0,76.0,78.0,77.0,74.0,78.0,68.0,78.0,70.0,9.0,8.0,9.0,11.0,10.0
Yahia Fofana,GK,Côte d'Ivoire,25.8049,-0.1857343229875577,62.0,69.0,800000.0,850.0,84.0,47.0,55.0,63.0,53.0,54.0,58.0,48.0,47.0,60.0,32.0,61.0,85.0,83.0,81.0,55.0,79.0,50.0,59.0,63.0,48.0,43.0,56.0,54.0,57.0,55.0,53.0,56.0,52.0,47.0,7.0,7.0,11.0,6.0,8.0
Evann Guessand,"FW,MF",Côte d'Ivoire,24.9446,1.9086360232628463,58.0,74.0,525000.0,2000.0,70.0,53.0,61.0,61.0,38.0,57.0,54.0,53.0,47.0,62.0,53.0,62.0,69.0,70.0,62.0,53.0,60.0,62.0,52.0,60.0,62.0,47.0,44.0,30.0,53.0,63.0,62.0,36.0,40.0,43.0,14.0,5.0,13.0,9.0,6.0
Parfait Guiagon,MF,Côte d'Ivoire,25.2984,2.478372199439045,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Christ Inao Oulaï,MF,Côte d'Ivoire,20.1807,0.795304476434137,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Franck Kessié,"DF,MF",Côte d'Ivoire,29.4764,-0.7239089773867607,84.0,86.0,49500000.0,51000.0,78.0,74.0,74.0,80.0,82.0,87.0,66.0,67.0,68.0,78.0,48.0,84.0,76.0,79.0,72.0,81.0,79.0,84.0,72.0,94.0,86.0,78.0,84.0,84.0,74.0,76.0,84.0,85.0,84.0,78.0,9.0,11.0,12.0,12.0,10.0
Ghislain Konan,"DF,MF",Côte d'Ivoire,30.4545,-0.3839002648779301,75.0,78.0,7000000.0,21000.0,79.0,48.0,68.0,75.0,70.0,71.0,72.0,43.0,60.0,75.0,32.0,75.0,82.0,76.0,75.0,73.0,74.0,57.0,70.0,82.0,67.0,46.0,68.0,72.0,67.0,68.0,74.0,67.0,74.0,69.0,8.0,5.0,5.0,11.0,8.0
Mohamed Koné,GK,Côte d'Ivoire,24.2628,-2.92657915581144,65.0,65.0,725000.0,4000.0,76.0,64.0,58.0,69.0,30.0,65.0,60.0,64.0,56.0,69.0,56.0,68.0,77.0,76.0,76.0,63.0,74.0,68.0,78.0,65.0,64.0,63.0,66.0,26.0,65.0,57.0,63.0,31.0,30.0,12.0,10.0,11.0,13.0,10.0,11.0
Odilon Kossounou,DF,Côte d'Ivoire,25.4326,-0.4831439501688069,73.0,84.0,6000000.0,23000.0,75.0,32.0,58.0,65.0,73.0,78.0,58.0,26.0,74.0,65.0,23.0,68.0,66.0,83.0,63.0,65.0,56.0,52.0,74.0,76.0,80.0,24.0,74.0,71.0,35.0,55.0,62.0,72.0,74.0,72.0,5.0,8.0,6.0,10.0,6.0
Alban Lafont,GK,Côte d'Ivoire,27.3806,1.5819490388023714,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Obite N'Dicka,DF,Côte d'Ivoire,26.8077,0.5875909111678459,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Christopher Opéri,"DF,MF",Côte d'Ivoire,29.1177,2.223163514010092,65.0,70.0,1000000.0,5000.0,77.0,51.0,58.0,62.0,59.0,67.0,63.0,41.0,57.0,62.0,40.0,62.0,73.0,80.0,66.0,60.0,63.0,64.0,54.0,77.0,68.0,58.0,56.0,57.0,51.0,53.0,59.0,58.0,60.0,61.0,12.0,11.0,9.0,14.0,15.0
Nicolas Pépé,"FW,MF",Côte d'Ivoire,31.0356,1.442304188193164,81.0,82.0,30500000.0,95000.0,88.0,79.0,75.0,83.0,36.0,65.0,77.0,79.0,57.0,85.0,79.0,81.0,88.0,88.0,88.0,77.0,79.0,81.0,66.0,77.0,68.0,78.0,43.0,33.0,77.0,76.0,77.0,36.0,34.0,30.0,11.0,14.0,11.0,6.0,8.0
Ibrahim Sangaré,MF,Côte d'Ivoire,28.5229,1.5370969760447868,77.0,84.0,20000000.0,15000.0,66.0,65.0,70.0,70.0,77.0,84.0,65.0,61.0,71.0,70.0,62.0,70.0,69.0,63.0,64.0,72.0,70.0,74.0,74.0,82.0,90.0,64.0,76.0,81.0,68.0,73.0,75.0,76.0,77.0,76.0,7.0,13.0,11.0,6.0,7.0
Jean Seri,MF,Côte d'Ivoire,34.8953,2.048084079375372,74.0,74.0,3600000.0,43000.0,64.0,67.0,77.0,78.0,67.0,66.0,72.0,64.0,57.0,74.0,78.0,81.0,75.0,55.0,86.0,70.0,80.0,74.0,66.0,75.0,61.0,71.0,68.0,67.0,67.0,74.0,79.0,67.0,70.0,66.0,14.0,13.0,9.0,10.0,12.0
Wilfried Singo,"DF,MF",Côte d'Ivoire,25.46,-0.3945450894455602,66.0,81.0,2000000.0,8000.0,77.0,40.0,57.0,67.0,62.0,59.0,67.0,38.0,63.0,72.0,40.0,67.0,72.0,81.0,67.0,60.0,54.0,43.0,64.0,51.0,65.0,34.0,54.0,61.0,50.0,50.0,46.0,52.0,70.0,68.0,11.0,6.0,7.0,13.0,7.0
Bazoumana Touré,MF,Côte d'Ivoire,20.2765,2.2855232805619807,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Elye Wahi,FW,Côte d'Ivoire,23.4381,-0.2755898017478291,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
