Country,#,Player,Pos,Club,Birth Place,Birth Date,Age,League,Birth Country
Cape Verde,20.0,Ryan Mendes,"FW,MF",76 Iğdır Belediyespor,"Mindelo, Cape Verde",1990-01-08,36.4216,2.tr,Cape Verde
Cape Verde,10.0,Jamiro Monteiro,"FW,MF",Zwolle,"Rotterdam, Netherlands",1993-11-23,32.5476,1.nl,Netherlands
Cape Verde,22.0,Steven Moreira,"DF,MF",Columbus Crew,"Noisy-le-Grand, France",1994-08-13,31.8268,1.us,France
Cape Verde,8.0,João Paulo Fernandes,"DF,MF",FCSB,Cape Verde,1998-05-26,28.0438,1.ro,Cape Verde
Cape Verde,4.0,Pico,DF,Shamrock Rovers,"Dublin, Republic of Ireland",1992-06-17,33.9829,1.ie,Republic of Ireland
Cape Verde,6.0,Kevin Pina,MF,Krasnodar,"Praia, Cape Verde",1997-01-27,29.3696,1.ru,Cape Verde
Cape Verde,24.0,Wagner Pina,"DF,MF",Trabzonspor,"Lisbon, Portugal",2002-11-03,23.6023,1.tr,Portugal
Cape Verde,25.0,Kelvin Pires,DF,SJK,"Mindelo, Cape Verde",2000-06-05,26.0164,1.fi,Cape Verde
Cape Verde,11.0,Garry Rodrigues,"FW,MF",Apollon Limassol,"Rotterdam, Netherlands",1990-11-27,35.5366,1.cy,Netherlands
Cape Verde,12.0,Márcio Rosa,GK,Montana,"Praia, Cape Verde",1997-02-23,29.2957,1.bg,Cape Verde
Cape Verde,17.0,Willy Semedo,"FW,MF",AC Omonia,"Paris, France",1994-04-27,32.1232,1.cy,France
Cape Verde,2.0,Stopira,DF,Torreense,"Praia, Cape Verde",1988-05-20,38.0602,2.pt,Cape Verde
Cape Verde,26.0,Hélio Varela,FW,Maccabi Tel Aviv FC,"Portugal, Portugal",2002-05-03,24.1068,1.il,Portugal
Cape Verde,1.0,Vozinha,GK,Chaves,"Mindelo, Cape Verde",1986-06-03,40.0219,2.pt,Cape Verde
Cape Verde,16.0,Yannick,MF,Farense,"Praia, Cape Verde",1995-12-29,30.449,2.pt,Cape Verde
Colombia,11.0,Jhon Arias,"FW,MF",Palmeiras,"Colombia, Colombia",1997-09-21,28.7201,1.br,Colombia
Colombia,4.0,Santiago Arias,"DF,MF",Independiente,"Medellín, Colombia",1992-01-13,34.4079,1.ar,Colombia
Colombia,15.0,Juan Camilo Portilla,MF,Athletico Paranaense,"Colombia, Colombia",1998-09-12,27.7447,1.br,Colombia
Colombia,21.0,Jaminton Campaz,"FW,MF",Rosario Central,"Tumaco, Colombia",2000-05-24,26.0493,1.ar,Colombia
Colombia,8.0,Jorge Carrascal,"FW,MF",Flamengo,"Cartagena, Colombia",1998-05-25,28.0465,1.br,Colombia
Colombia,5.0,Kevin Castaño,MF,River Plate,"Itagüí, Colombia",2000-09-29,25.6982,1.ar,Colombia
Colombia,9.0,Jhon Córdoba,FW,Krasnodar,"Istmina, Colombia",1993-05-11,33.0849,1.ru,Colombia
Colombia,19.0,Cucho,"FW,MF",Real Betis,"Pereira, Colombia",1999-04-20,27.1424,1.es,Colombia
Colombia,24.0,Álvaro David Montero,GK,Vélez Sarsfield,"El Molino, Colombia",1995-03-29,31.2026,1.ar,Colombia
Colombia,7.0,Luis Díaz,"FW,MF",Bayern Munich,"Barrancas, Colombia",1997-01-13,29.4079,1.de,Colombia
Colombia,18.0,Willer Ditta,DF,Cruz Azul,"Colombia, Colombia",1998-01-23,28.3806,1.mx,Colombia
Colombia,26.0,Andrés Gómez,MF,Vasco da Gama,"Quibdó, Colombia",2002-09-12,23.7447,1.br,Colombia
Colombia,16.0,Jefferson Lerma,"DF,MF",Crystal Palace,"El Cerrito, Colombia",1994-10-25,31.627,1.eng,Colombia
Colombia,3.0,Jhon Lucumí,DF,Bologna,"Cali, Colombia",1998-06-26,27.9582,1.it,Colombia
Colombia,22.0,Deiver Machado,"DF,MF",Nantes,"Tadó, Colombia",1993-09-02,32.7721,1.fr,Colombia
Colombia,13.0,Yerry Mina,DF,Cagliari,"Guachené, Colombia",1994-09-23,31.7146,1.it,Colombia
Colombia,17.0,Johan Mojica,"DF,MF",Mallorca,"Cali, Colombia",1992-08-21,33.8049,1.es,Colombia
Colombia,2.0,Daniel Muñoz,"DF,MF",Crystal Palace,"Amalfi, Colombia",1996-05-26,30.0438,1.eng,Colombia
Colombia,1.0,David Ospina,GK,Atlético Nacional,"Medellín, Colombia",1988-08-31,37.7775,1.co,Colombia
Colombia,14.0,Gustavo Puerta,MF,Racing Sant,"Colombia, Colombia",2003-07-23,22.8843,2.es,Colombia
Colombia,20.0,Juan Quintero,"FW,MF",River Plate,"Barranquilla, Colombia",1993-01-18,33.3943,1.ar,Colombia
Colombia,6.0,Richard Ríos,MF,Benfica,"Colombia, Colombia",2000-06-02,26.0246,1.pt,Colombia
Colombia,10.0,James Rodríguez,"FW,MF",Minnesota Utd,"Cúcuta, Colombia",1991-07-12,34.9144,1.us,Colombia
Colombia,23.0,Davinson Sánchez,DF,Galatasaray,"Caloto, Colombia",1996-06-12,29.9966,1.tr,Colombia
Colombia,25.0,Luis Suárez,FW,Sporting CP,"Colombia, Colombia",1997-12-02,28.5229,1.pt,Colombia
Colombia,12.0,Camilo Vargas,GK,Atlas,"Bogotá, Colombia",1989-03-09,37.2574,1.mx,Colombia
Congo DR,17.0,Cédric Bakambu,FW,Real Betis,"Ivry-sur-Seine, France",1991-04-11,35.167,1.es,France
Congo DR,23.0,Simon Banza,"FW,MF",Al Jazira Club,"Creil, France",1996-08-13,29.8268,1.ae,France
Congo DR,5.0,Dylan Batubinsika,DF,AEL Limassol,"Cergy-Pontoise, France",1996-02-15,30.3176,1.cy,France
Congo DR,10.0,Theo Bongonda,"FW,MF",Spartak Moscow,"Charleroi, Belgium",1995-11-20,30.5558,1.ru,Belgium
Congo DR,,Rocky Bushiri,DF,Hibernian,"Duffel, Belgium",1999-11-30,26.5284,1.sct,Belgium
Congo DR,9.0,Brian Cipenga,MF,Castellón,"Kinshasa, Congo DR",1998-03-11,28.2519,2.es,Congo DR
Congo DR,13.0,Meschak Elia,"FW,MF",Alanyaspor,"Kinshasa, Congo DR",1997-08-06,28.846,1.tr,Congo DR
Congo DR,21.0,Matthieu Epolo,GK,Standard Liège,Belgium,2005-01-15,21.4025,1.be,Belgium
Congo DR,16.0,Timothy Fayulu,GK,FC Noah,"Genève, Switzerland",1999-07-24,26.8816,1.am,Switzerland
Congo DR,11.0,Gaël Kakuta,"FW,MF",AEL Limassol,"Lille, France",1991-06-21,34.9719,1.cy,France
Congo DR,24.0,Gédéon Kalulu,DF,Aris Limassol,"Lyon, France",1997-08-29,28.783,1.cy,France
Congo DR,3.0,Steve Kapuadi,DF,Widzew Łódź,"Le Mans, France",1998-04-30,28.115,1.pl,France
Congo DR,25.0,Edo Kayembe,MF,Watford,Congo,1998-06-03,28.0219,2.eng,Congo
Congo DR,12.0,Joris Kayembe,"DF,FW",Genk,"Brussels, Belgium",1994-08-08,31.8405,1.be,Belgium
Congo DR,26.0,Arthur Masuaku,"DF,MF",Lens,"Lille, France",1993-11-07,32.5914,1.fr,France
Congo DR,19.0,Fiston Mayele,FW,Pyramids FC,"Mbuji-Mayi City, Congo DR",1994-06-24,31.9637,1.eg,Congo DR
Congo DR,22.0,Chancel Mbemba,DF,Lille,"Kinshasa, Congo DR",1994-08-08,31.8405,1.fr,Congo DR
Congo DR,7.0,Nathanaël Mbuku,MF,Montpellier,"Villeneuve-Saint-Georges, France",2002-03-16,24.2382,2.fr,France
Congo DR,8.0,Samuel Moutoussamy,MF,Atromitos,"Paris, France",1996-08-12,29.8296,1.gr,France
Congo DR,1.0,Lionel Mpasi,GK,Le Havre,"Meaux, France",1994-08-01,31.8597,1.fr,France
Congo DR,6.0,Ngal'Ayel Mukau,MF,Lille,"Antwerpen, Belgium",2004-11-03,21.6023,1.fr,Belgium
Congo DR,18.0,Charles Pickel,"DF,MF",Espanyol,"Solothurn, Switzerland",1997-05-15,29.0739,1.es,Switzerland
Congo DR,14.0,Noah Sadiki,MF,Sunderland,"Brussels, Belgium",2004-12-17,21.4819,1.eng,Belgium
Congo DR,15.0,Aaron Tshibola,MF,Kilmarnock,"Newham, England, United Kingdom",1995-01-02,31.4381,1.sct,United Kingdom
Congo DR,4.0,Axel Tuanzebe,DF,Burnley,"Bunia, Congo DR",1997-11-14,28.5722,1.eng,Congo DR
Congo DR,2.0,Aaron Wan-Bissaka,"DF,MF",West Ham United,"Croydon, England, United Kingdom",1997-11-26,28.5394,1.eng,United Kingdom
Congo DR,20.0,Yoane Wissa,"FW,MF",Newcastle United,"Épinay-sous-Sénart, France",1996-09-03,29.7693,1.eng,France
Croatia,16.0,Martin Baturina,MF,Como,"Zürich, Switzerland",2003-02-16,23.3149,1.it,Switzerland
Croatia,11.0,Ante Budimir,FW,Osasuna,"Zenica, Bosnia and Herzegovina",1991-07-22,34.8871,1.es,Bosnia and Herzegovina
Croatia,5.0,Duje Ćaleta-Car,DF,Real Sociedad,"Grad Šibenik, Croatia",1996-09-17,29.731,1.es,Croatia
Croatia,25.0,Martin Erlić,DF,Midtjylland,"Zadar, Croatia",1998-01-24,28.3778,1.dk,Croatia
Croatia,19.0,Toni Fruk,"FW,MF",Rijeka,"Grad Našice, Croatia",2001-03-09,25.2574,1.hr,Croatia
Croatia,4.0,Joško Gvardiol,DF,Manchester City,"Zagreb, Croatia",2002-01-23,24.3806,1.eng,Croatia
Croatia,18.0,Kristijan Jakić,"DF,MF",Augsburg,"Grad Split, Croatia",1997-05-14,29.0767,1.de,Croatia
Croatia,23.0,Dominik Kotarski,GK,FC Copenhagen,"Zabok, Croatia",2000-02-10,26.3313,1.dk,Croatia
Croatia,8.0,Mateo Kovačić,MF,Manchester City,"Linz, Austria",1994-05-06,32.0986,1.eng,Austria
Croatia,9.0,Andrej Kramarić,"FW,MF",Hoffenheim,"Zagreb, Croatia",1991-06-19,34.9774,1.de,Croatia
Croatia,1.0,Dominik Livaković,GK,Dinamo Zagreb,"Zadar, Croatia",1995-01-09,31.4189,1.hr,Croatia
Croatia,20.0,Igor Matanović,FW,Freiburg,"Hamburg, Germany",2003-03-31,23.1971,1.de,Germany
Croatia,10.0,Luka Modrić,MF,Milan,"Zadar, Croatia",1985-09-09,40.7529,1.it,Croatia
Croatia,7.0,Nikola Moro,MF,Bologna,"Grad Split, Croatia",1998-03-12,28.2491,1.it,Croatia
Croatia,26.0,Petar Musa,FW,FC Dallas,"Zagreb, Croatia",1998-03-04,28.271,1.us,Croatia
Croatia,12.0,Ivor Pandur,GK,Hull City,"Sušak, Croatia",2000-03-25,26.2136,2.eng,Croatia
Croatia,24.0,Marco Pašalić,MF,Orlando City,"Karlsruhe, Germany",2000-09-14,25.7392,1.us,Germany
Croatia,15.0,Mario Pašalić,"FW,MF",Atalanta,"Mainz, Germany",1995-02-09,31.334,1.it,Germany
Croatia,14.0,Ivan Perišić,"FW,MF",PSV,"Grad Split, Croatia",1989-02-02,37.3532,1.nl,Croatia
Croatia,3.0,Marin Pongračić,DF,Fiorentina,"Landshut, Germany",1997-09-11,28.7474,1.it,Germany
Croatia,2.0,Josip Stanišić,DF,Bayern Munich,"München, Germany",2000-04-02,26.1916,1.de,Germany
Croatia,21.0,Luka Sučić,"FW,MF",Real Sociedad,"Linz, Austria",2002-09-08,23.7556,1.es,Austria
Croatia,17.0,Petar Sučić,MF,Inter,"Livno, Bosnia and Herzegovina",2003-10-25,22.627,1.it,Bosnia and Herzegovina
Croatia,6.0,Josip Šutalo,DF,Ajax,"Čapljina, Bosnia and Herzegovina",2000-02-28,26.282,1.nl,Bosnia and Herzegovina
Croatia,13.0,Nikola Vlašić,"FW,MF",Torino,"Grad Split, Croatia",1997-10-04,28.6845,1.it,Croatia
Croatia,22.0,Luka Vušković,DF,Hamburger SV,"Croatia, Croatia",2007-02-24,19.293,1.de,Croatia
Curaçao,11.0,Jeremy Antonisse,"FW,MF",AE Kifisia,"Rosmalen, Netherlands",2002-03-29,24.2026,1.gr,Netherlands
Curaçao,7.0,Juninho Bacuna,"FW,MF",Volendam,"Groningen, Netherlands",1997-08-07,28.8433,1.nl,Netherlands
Curaçao,10.0,Leandro Bacuna,"DF,MF",76 Iğdır Belediyespor,"Groningen, Netherlands",1991-08-21,34.8049,2.tr,Netherlands
Curaçao,23.0,Riechedly Bazoer,"DF,MF",Konyaspor,"Gemeente Utrecht, Netherlands",1996-10-12,29.6626,1.tr,Netherlands
Curaçao,25.0,Tyrick Bodak,GK,Telstar,"Curaçao Island, Curaçao",2002-05-15,24.0739,1.nl,Curaçao
Curaçao,20.0,Joshua Brenet,DF,Kayserispor,"Gemeente Kerkrade, Netherlands",1994-03-20,32.2272,1.tr,Netherlands
Curaçao,21.0,Tahith Chong,"FW,MF",Sheffield United,"Willemstad, Curaçao",1999-12-04,26.5175,2.eng,Curaçao
Curaçao,8.0,Livano Comenencia,DF,Zürich,"Breda, Netherlands",2004-02-03,22.3504,1.ch,Netherlands
Curaçao,26.0,Trevor Doornbusch,GK,VVV-Venlo,"Haarlem, Netherlands",1999-07-06,26.9309,2.nl,Netherlands
Curaçao,4.0,Roshon van Eijma,DF,RKC Waalwijk,"Curaçao Island, Curaçao",1998-06-09,28.0055,2.nl,Curaçao
Curaçao,22.0,Kevin Felida,MF,Den Bosch,"Gemeente Spijkenisse, Netherlands",1999-11-11,26.5804,2.nl,Netherlands
Curaçao,5.0,Sherel Floranus,DF,Zwolle,"Rotterdam, Netherlands",1998-08-23,27.7995,1.nl,Netherlands
Curaçao,24.0,Deveron Fonville,DF,NEC Nijmegen,"Gemeente Nieuwegein, Netherlands",2003-05-16,23.0712,1.nl,Netherlands
Curaçao,3.0,Juriën Gaari,DF,Abha,"Gemeente Kerkrade, Netherlands",1993-12-23,32.4654,2.sa,Netherlands
Curaçao,14.0,Kenji Gorré,"FW,MF",Maccabi Haifa FC,"Gemeente Spijkenisse, Netherlands",1994-09-29,31.6982,1.il,Netherlands
Curaçao,12.0,Sontje Hansen,"FW,MF",Middlesbrough,"Gemeente Hoorn, Netherlands",2002-05-18,24.0657,2.eng,Netherlands
Curaçao,19.0,Gervane Kastaneer,"FW,MF",Terengganu City FC,"Rotterdam, Netherlands",1996-06-09,30.0055,1.my,Netherlands
Curaçao,17.0,Brandley Kuwas,"FW,MF",Volendam,"Gemeente Hoorn, Netherlands",1992-09-19,33.7255,1.nl,Netherlands
Curaçao,9.0,Jürgen Locadia,FW,Miami FC,"Gemeente Emmen, Netherlands",1993-11-07,32.5914,2.us,Netherlands
Curaçao,16.0,Jearl Margaritha,"FW,MF",Beveren,"Groningen, Netherlands",2000-04-10,26.1697,2.be,Netherlands
Curaçao,15.0,Ar'jany Martha,"DF,FW",Rotherham United,"Rotterdam, Netherlands",2003-09-04,22.7666,3.eng,Netherlands
Curaçao,13.0,Tyrese Noslin,MF,Telstar,"Amsterdam, Netherlands",2002-09-11,23.7474,1.nl,Netherlands
Curaçao,18.0,Armando Obispo,DF,PSV,"Boxtel, Netherlands",1999-03-05,27.2683,1.nl,Netherlands
Curaçao,6.0,Godfried Roemeratoe,MF,RKC Waalwijk,"Oost-Souburg, Netherlands",1999-08-19,26.8104,2.nl,Netherlands
Curaçao,1.0,Eloy Room,GK,Miami FC,"Gemeente Nijmegen, Netherlands",1989-02-06,37.3422,2.us,Netherlands
Curaçao,2.0,Shurandy Sambo,DF,Sparta Rotterdam,"Geldrop, Netherlands",2001-08-19,24.8104,1.nl,Netherlands
Czechia,12.0,Lukáš Červ,MF,Viktoria Plzeň,Czech Republic,2001-04-10,25.1697,1.cz,Czech Republic
Czechia,6.0,Štěpán Chaloupek,DF,Slavia Prague,"Meziboři, Czech Republic",2003-03-08,23.2601,1.cz,Czech Republic
Czechia,19.0,Tomáš Chorý,FW,Slavia Prague,"Olomouc, Czech Republic",1995-01-26,31.3723,1.cz,Czech Republic
Czechia,13.0,Mojmír Chytil,FW,Slavia Prague,Czech Republic,1999-04-29,27.1177,1.cz,Czech Republic
Czechia,5.0,Vladimír Coufal,MF,Hoffenheim,"Liberec, Czech Republic",1992-08-22,33.8022,1.de,Czech Republic
Czechia,8.0,Vladimír Darida,MF,Hradec Králové,"Sokolov, Czech Republic",1990-08-08,35.8405,1.cz,Czech Republic
Czechia,21.0,David Doudera,"DF,MF",Slavia Prague,Czech Republic,1998-05-31,28.0301,1.cz,Czech Republic
Czechia,9.0,Adam Hložek,"FW,MF",Hoffenheim,"Ivančice, Czech Republic",2002-07-25,23.8789,1.de,Czech Republic
Czechia,3.0,Tomáš Holeš,"DF,MF",Slavia Prague,"Polička, Czech Republic",1993-03-31,33.1971,1.cz,Czech Republic
Czechia,23.0,Lukáš Horníček,GK,Braga,"Vysoké Mýto, Czech Republic",2002-07-13,23.9117,1.pt,Czech Republic
Czechia,4.0,Robin Hranáč,DF,Hoffenheim,Czech Republic,2000-01-29,26.3641,1.de,Czech Republic
Czechia,14.0,David Jurásek,"DF,MF",Slavia Prague,Czech Republic,2000-08-07,25.8433,1.cz,Czech Republic
Czechia,1.0,Matej Kovar,GK,PSV,"Uherské Hradiště, Czech Republic",2000-05-17,26.0684,1.nl,Czech Republic
Czechia,7.0,Ladislav Krejčí,DF,Wolves,"Praha, Czech Republic",1999-04-20,27.1424,1.eng,Czech Republic
Czechia,11.0,Jan Kuchta,FW,Sparta Prague,"Liberec, Czech Republic",1997-01-08,29.4216,1.cz,Czech Republic
Czechia,17.0,Lukáš Provod,FW,Slavia Prague,"Pilsen, Czech Republic",1996-10-23,29.6324,1.cz,Czech Republic
Czechia,18.0,Michal Sadílek,"DF,FW",Slavia Prague,"Uherské Hradiště, Czech Republic",1999-05-31,27.0301,1.cz,Czech Republic
Czechia,10.0,Patrik Schick,FW,Leverkusen,"Prague, Czech Republic",1996-01-24,30.3778,1.de,Czech Republic
Czechia,25.0,Hugo Sochůrek,MF,Sparta Prague,Czech Republic,2008-06-07,18.011,1.cz,Czech Republic
Czechia,24.0,Alexandr Sojka,MF,Viktoria Plzeň,"Pilsen, Czech Republic",2003-04-02,23.1916,1.cz,Czech Republic
Czechia,22.0,Tomáš Souček,MF,West Ham United,"Havlíčkův Brod, Czech Republic",1995-02-27,31.2847,1.eng,Czech Republic
Czechia,16.0,Jindřich Staněk,GK,Slavia Prague,"Strakonice, Czech Republic",1996-04-27,30.1232,1.cz,Czech Republic
Czechia,15.0,Pavel Šulc,FW,Lyon,Czech Republic,2000-12-29,25.449,1.fr,Czech Republic
Czechia,26.0,Denis Višinský,"FW,MF",Viktoria Plzeň,Czech Republic,2003-03-21,23.2245,1.cz,Czech Republic
Czechia,20.0,Jaroslav Zelený,MF,Sparta Prague,"Hradec Králové, Czech Republic",1992-08-20,33.8077,1.cz,Czech Republic
Czechia,2.0,David Zima,DF,Slavia Prague,"Olomouc, Czech Republic",2000-11-08,25.5886,1.cz,Czech Republic
Côte d'Ivoire,10.0,Simon Adingra,"FW,MF",Monaco,"Abidjan, Côte d'Ivoire",2002-01-01,24.4408,1.fr,Côte d'Ivoire
Côte d'Ivoire,20.0,Emmanuel Agbadou,DF,Beşiktaş,"Abidjan, Côte d'Ivoire",1997-06-17,28.9829,1.tr,Côte d'Ivoire
Côte d'Ivoire,,Clément Akpa,DF,Auxerre,"Meudon, France",2001-11-24,24.5448,1.fr,France
Côte d'Ivoire,9.0,Ange-Yoan Bonny,FW,Inter,"Aubervilliers, France",2003-10-25,22.627,1.it,France
Côte d'Ivoire,14.0,Oumar Diakité,FW,Cercle Brugge,"Bingerville, Côte d'Ivoire",2003-12-20,22.4736,1.be,Côte d'Ivoire
Côte d'Ivoire,15.0,Amad Diallo,"FW,MF",Manchester Utd,"Abidjan, Côte d'Ivoire",2002-07-11,23.9172,1.eng,Côte d'Ivoire
Côte d'Ivoire,2.0,Ousmane Diomande,DF,Sporting CP,"Abidjan, Côte d'Ivoire",2003-12-04,22.5175,1.pt,Côte d'Ivoire
Côte d'Ivoire,11.0,Yan Diomandé,FW,RB Leipzig,"Abidjan, Côte d'Ivoire",2006-11-14,19.5722,1.de,Côte d'Ivoire
Côte d'Ivoire,17.0,Guéla Doué,DF,Strasbourg,"Angers, France",2002-10-17,23.6489,1.fr,France
Côte d'Ivoire,6.0,Seko Fofana,MF,Porto,"Paris, France",1995-05-07,31.0958,1.pt,France
Côte d'Ivoire,1.0,Yahia Fofana,GK,Rizespor,"Paris, France",2000-08-21,25.8049,1.tr,France
Côte d'Ivoire,22.0,Evann Guessand,"FW,MF",Crystal Palace,"Ajaccio, France",2001-07-01,24.9446,1.eng,France
Côte d'Ivoire,25.0,Parfait Guiagon,MF,Charleroi,Côte d'Ivoire,2001-02-22,25.2984,1.be,Côte d'Ivoire
Côte d'Ivoire,26.0,Christ Inao Oulaï,MF,Trabzonspor,"Yopougon, Côte d'Ivoire",2006-04-06,20.1807,1.tr,Côte d'Ivoire
Côte d'Ivoire,8.0,Franck Kessié,"DF,MF",Al-Ahli,"Ouragahio, Côte d'Ivoire",1996-12-19,29.4764,1.sa,Côte d'Ivoire
Côte d'Ivoire,3.0,Ghislain Konan,"DF,MF",Gil Vicente FC,"Abidjan, Côte d'Ivoire",1995-12-27,30.4545,1.pt,Côte d'Ivoire
Côte d'Ivoire,16.0,Mohamed Koné,GK,Charleroi,"Adjame, Côte d'Ivoire",2002-03-07,24.2628,1.be,Côte d'Ivoire
Côte d'Ivoire,7.0,Odilon Kossounou,DF,Atalanta,"Abidjan, Côte d'Ivoire",2001-01-04,25.4326,1.it,Côte d'Ivoire
Côte d'Ivoire,23.0,Alban Lafont,GK,Panathinaikos,"Ouagadougou, Burkina Faso",1999-01-23,27.3806,1.gr,Burkina Faso
Côte d'Ivoire,21.0,Obite N'Dicka,DF,Roma,"Paris, France",1999-08-20,26.8077,1.it,France
Côte d'Ivoire,13.0,Christopher Opéri,"DF,MF",Başakşehir,"Abidjan, Côte d'Ivoire",1997-04-29,29.1177,1.tr,Côte d'Ivoire
Côte d'Ivoire,19.0,Nicolas Pépé,"FW,MF",Villarreal,"Mantes-la-Jolie, France",1995-05-29,31.0356,1.es,France
Côte d'Ivoire,18.0,Ibrahim Sangaré,MF,Nottingham Forest,"Koumassi, Côte d'Ivoire",1997-12-02,28.5229,1.eng,Côte d'Ivoire
Côte d'Ivoire,4.0,Jean Seri,MF,NK Maribor,"Grand Béréby, Côte d'Ivoire",1991-07-19,34.8953,1.si,Côte d'Ivoire
Côte d'Ivoire,5.0,Wilfried Singo,"DF,MF",Galatasaray,"Ouragahio, Côte d'Ivoire",2000-12-25,25.46,1.tr,Côte d'Ivoire
Côte d'Ivoire,24.0,Bazoumana Touré,MF,Hoffenheim,"Bouaké, Côte d'Ivoire",2006-03-02,20.2765,1.de,Côte d'Ivoire
Côte d'Ivoire,12.0,Elye Wahi,FW,Nice,"Courcouronnes, France",2003-01-02,23.4381,1.fr,France
Ecuador,5.0,Jordy Alcivar,MF,Independiente,"Manta, Ecuador",1999-08-05,26.8487,1.ec,Ecuador
Ecuador,20.0,Nilson Angulo,"FW,MF",Sunderland,"Quininde, Ecuador",2003-06-19,22.9774,1.eng,Ecuador
Ecuador,24.0,Jeremy Arévalo,FW,Stuttgart,"Maliaño, Spain",2005-03-19,21.23,1.de,Spain
Ecuador,16.0,Jordy Caicedo,FW,Huracán,"Machala, Ecuador",1997-11-18,28.5613,1.ar,Ecuador
Ecuador,23.0,Moisés Caicedo,MF,Chelsea,"Santo Domingo de los Colorados, Ecuador",2001-11-02,24.6051,1.eng,Ecuador
Ecuador,18.0,Denil Castillo,MF,Midtjylland,"Cantón Eloy Alfaro, Ecuador",2004-03-24,22.2163,1.dk,Ecuador
Ecuador,7.0,Pervis Estupiñán,"DF,MF",Milan,"Esmeraldas, Ecuador",1998-01-21,28.386,1.it,Ecuador
Ecuador,21.0,Alan Franco,MF,Atlético Mineiro,"Alfredo Baquerizo Moreno, Ecuador",1998-08-21,27.8049,1.br,Ecuador
Ecuador,1.0,Hernán Galíndez,GK,Huracán,"Rosario, Argentina",1987-03-30,39.1999,1.ar,Argentina
Ecuador,3.0,Piero Hincapié,DF,Arsenal,"Esmeraldas, Ecuador",2002-01-09,24.4189,1.eng,Ecuador
Ecuador,26.0,Yaimar Medina,"DF,MF",Genk,"Cantón Eloy Alfaro, Ecuador",2004-11-05,21.5969,1.be,Ecuador
Ecuador,14.0,Alan Minda,"FW,MF",Atlético Mineiro,"Esmeraldas, Ecuador",2003-05-14,23.0767,1.br,Ecuador
Ecuador,4.0,Joel Ordóñez,DF,Club Brugge,"Guayaquil, Ecuador",2004-04-21,22.1396,1.be,Ecuador
Ecuador,6.0,Willian Pacho,DF,Paris Saint-Germain,"Quininde, Ecuador",2001-10-16,24.6516,1.fr,Ecuador
Ecuador,10.0,Kendry Páez,MF,River Plate,"Guayaquil, Ecuador",2007-05-04,19.104,1.ar,Ecuador
Ecuador,19.0,Gonzalo Plata,"FW,MF",Flamengo,"Guayaquil, Ecuador",2000-11-01,25.6078,1.br,Ecuador
Ecuador,25.0,Jackson Porozo,DF,Tijuana,"San Lorenzo, Ecuador",2000-08-04,25.8515,1.mx,Ecuador
Ecuador,17.0,Ángelo Preciado,"DF,MF",Atlético Mineiro,"Shushufindi, Ecuador",1998-02-18,28.3094,1.br,Ecuador
Ecuador,12.0,Moisés Ramírez,GK,AE Kifisia,"Guayaquil, Ecuador",2000-09-09,25.7529,1.gr,Ecuador
Ecuador,11.0,Kevin Rodríguez,FW,Union SG,"Ibarra, Ecuador",2000-03-04,26.271,1.be,Ecuador
Ecuador,2.0,Félix Torres Caicedo,DF,Internacional,"San Lorenzo, Ecuador",1997-01-11,29.4134,1.br,Ecuador
Ecuador,8.0,Anthony Valencia,MF,Antwerp,"Guayaquil, Ecuador",2003-07-21,22.8898,1.be,Ecuador
Ecuador,13.0,Enner Valencia,"FW,MF",Pachuca,"San Lorenzo, Ecuador",1989-11-04,36.5996,1.mx,Ecuador
Ecuador,22.0,Gonzalo Valle,GK,LDU Quito,"Riobamba, Ecuador",1996-02-28,30.282,1.ec,Ecuador
Ecuador,15.0,Pedro Vite,MF,UNAM,"Babahoyo, Ecuador",2002-03-09,24.2574,1.mx,Ecuador
Ecuador,9.0,John Yeboah,"FW,MF",Venezia,"Hamburg, Germany",2000-06-23,25.9665,2.it,Germany
Egypt,9.0,Hamza Abdelkarim,FW,Barcelona B,"Cairo, Egypt",2008-01-01,18.4408,4.es,Egypt
Egypt,4.0,Hossam Abdelmaguid,DF,Zamalek SC,Egypt,2001-04-30,25.115,1.eg,Egypt
Egypt,6.0,Mohamed Abdelmonem,DF,Nice,"Zagazig, Egypt",1999-02-01,27.3559,1.fr,Egypt
Egypt,20.0,Ibrahim Adel,MF,Nordsjælland,"Port Said, Egypt",2001-04-23,25.1342,1.dk,Egypt
Egypt,26.0,Mohamed Alaa,GK,El Gouna FC,Egypt,1999-01-01,27.4408,1.eg,Egypt
Egypt,24.0,Tarek Alaa,DF,ZED,Egypt,2002-01-05,24.4298,1.eg,Egypt
Egypt,8.0,Emam Ashour,MF,Al Ahly,"As Sinbillāwayn, Egypt",1998-02-20,28.3039,1.eg,Egypt
Egypt,19.0,Marwan Attia,MF,Al Ahly,"Kafr ad Dawwār, Egypt",1998-08-12,27.8296,1.eg,Egypt
Egypt,18.0,Nabil Dunga,MF,Al-Najma,"Al Maḩallah al Kubrá, Egypt",1996-04-06,30.1807,1.sa,Egypt
Egypt,14.0,Hamdy Fathy,MF,Al-Wakrah,Egypt,1994-09-29,31.6982,1.qa,Egypt
Egypt,13.0,Ahmed Fatouh,DF,Zamalek SC,"Cairo, Egypt",1998-03-22,28.2218,1.eg,Egypt
Egypt,15.0,Karim Hafez,DF,Pyramids FC,Egypt,1996-03-12,30.2491,1.eg,Egypt
